Year,Year_Start,NPGO_AJ,NPGO_G,PDO_AJ,PDO_G,ENSO_AJ,ENSO_G
1965,1964,-0.346666667,-0.823333333,-0.7325,-0.336666667,-0.183333333,0.683333333
1966,1965,-0.961666667,-1.166666667,-0.079166667,-0.385,1.183333333,0.433333333
1967,1966,-0.899166667,-1.03,-0.710833333,-1.238333333,-0.216666667,-0.216666667
1968,1967,-0.676666667,-1.011666667,-0.349166667,-0.138333333,-0.25,0.066666667
1969,1968,-0.793333333,-0.456666667,-0.415833333,-0.631666667,0.7,0.6
1970,1969,0.095833333,0.15,0.193333333,-0.368333333,0.333333333,-0.2
1971,1970,0.300833333,0.616666667,-1.533333333,-1.571666667,-0.933333333,-0.816666667
1972,1971,-0.201666667,-0.605,-1.389166667,-1.47,-0.191666667,0.766666667
1973,1972,-0.280833333,0.188333333,-0.6925,-1.37,0.825,-0.566666667
1974,1973,0.010833333,0.111666667,-0.951666667,-0.528333333,-1.35,-0.8
1975,1974,0.461666667,0.681666667,-0.621666667,-1.491666667,-0.683333333,-0.916666667
1976,1975,1.484166667,2.18,-1.246666667,-0.655,-0.95,-0.15
1977,1976,1.57,1.235,0.651666667,-0.036666667,0.516666667,0.3
1978,1977,0.876666667,0.555,0.076666667,0.121666667,0.275,-0.25
1979,1978,-0.335833333,-0.943333333,-0.293333333,0.056666667,-0.033333333,0.15
1980,1979,-0.865833333,-0.696666667,0.368333333,0.198333333,0.433333333,0.333333333
1981,1980,-0.435,-0.39,0.8825,1.028333333,-0.216666667,-0.333333333
1982,1981,-0.41,-0.766666667,-0.150833333,-0.538333333,0.183333333,0.666666667
1983,1982,-0.26,-0.195,0.823333333,1.591666667,1.508333333,0.8
1984,1983,0.264166667,0.731666667,0.903333333,0.493333333,-0.516666667,-0.35
1985,1984,0.3625,0.103333333,0.151666667,-0.163333333,-0.691666667,-0.666666667
1986,1985,-0.965833333,-0.761666667,0.671666667,0.87,-0.275,0
1987,1986,0.0225,0.365,1.006666667,1.12,1.033333333,1.233333333
1988,1987,0.960833333,1.528333333,0.640833333,0.063333333,0.4,-0.8
1989,1988,1.02,0.79,-0.5075,-0.236666667,-1.141666667,-0.583333333
1990,1989,0.145,0.021666667,-0.529166667,-0.45,0.066666667,0.316666667
1991,1990,-0.489166667,-0.42,-1.420833333,-1.465,0.408333333,0.483333333
1992,1991,-0.818333333,-1.351666667,0.454166667,0.916666667,1.083333333,0.85
1993,1992,-1.519166667,-1.41,0.876666667,1.42,0.216666667,0.516666667
1994,1993,-1.639166667,-0.965,0.658333333,-0.063333333,0.216666667,0.35
1995,1994,-1.313333333,-1.488333333,-0.380833333,0.626666667,0.516666667,0.033333333
1996,1995,-0.7475,-0.925,0.856666667,0.893333333,-0.658333333,-0.366666667
1997,1996,-0.97,-0.751666667,0.636666667,1.503333333,0.075,0.95
1998,1997,0.266666667,0.411666667,0.786666667,-0.386666667,1.433333333,0.15
1999,1998,1.149166667,1.656666667,-1.521666667,-1.9,-1.241666667,-1.05
2000,1999,1.691666667,1.975,-1.5375,-0.988333333,-1.141666667,-0.716666667
2001,2000,2.0675,2.051666667,-0.954166667,-1.303333333,-0.45,-0.216666667
2002,2001,1.64,1.283333333,-1.296666667,-0.93,0.075,0.516666667
2003,2002,1.266666667,1.045,0.546666667,0.36,0.583333333,0.033333333
2004,2003,0.491666667,0.433333333,0,0.105,0.308333333,0.333333333
2005,2004,-0.868333333,-1.346666667,0.068333333,0.48,0.475,0.166666667
2006,2005,-0.863333333,-0.403333333,-0.460833333,-0.316666667,-0.383333333,-0.116666667
2007,2006,-0.05,0.718333333,-0.580833333,-0.233333333,0.2,-0.45
2008,2007,1.141666667,1.56,-1.415,-1.721666667,-1.125,-0.716666667
2009,2008,1.044166667,0.503333333,-1.596666667,-1.256666667,-0.316666667,0.083333333
2010,2009,1.326666667,1.361666667,-0.383333333,-0.895,0.608333333,-0.333333333
2011,2010,0.975833333,1.068333333,-1.6225,-1.451666667,-1.116666667,-0.616666667
2012,2011,1.188333333,1.7,-2.013333333,-1.903333333,-0.608333333,-0.133333333
2013,2012,1.101666667,0.626666667,-1.369166667,-1.115,-0.133333333,-0.35
2014,2013,-0.288333333,-0.323333333,-0.4525,0.373333333,-0.175,0.033333333
2015,2014,-0.755,-1.356666667,1.125833333,0.955,0.658333333,1.116666667
2016,2015,-0.8025,-0.44,0.9625,0.946666667,1.558333333,0.316666667
2017,2016,-0.375,-0.453333333,0.056666667,0.066666667,-0.216666667,0.15
2018,2017,-1.705,-1.94,-0.368333333,-0.473333333,-0.508333333,-0.183333333
2019,2018,-1.965,-2.096666667,-0.2125,0.09,0.608333333,0.466666667
2020,2019,-2.1325,-1.646666667,-0.7825,-1.096666667,0.2,-0.133333333
2021,2019,-1.205833333,-0.813333333,-1.379166667,-1.703333333,-0.825,-0.55
