ID,Type,Substrate,Group,Urchin,Understory
39,DQ,Pebble,0,0,Turf
49,DQ,Pebble,0,0,Turf
40,DQ,Pebble,0,0,Turf
42,DQ,Cobble,0,0,Turf
43,DQ,Granule,0,0,Eelgrass
N01,DQ,Sand,0,0,NA
Dive1_13082021,FF,Sand,0,0,Eelgrass
Dive2_13082021,FF,Pebble,0,0,Eelgrass
6,DQ,Cobble,1,0,Turf
7,DQ,Pebble,1,0,Turf
12,DQ,Cobble,1,0,Branched 
9,DQ,Cobble,1,0,Turf
23,DQ,Cobble,1,0,Kelp
N23,DQ,Cobble,1,0,Branched 
N23_02,DQ,Boulder,1,0,Branched 
Dive3_13082021,FF,Boulder,1,0,Turf
Dive4_13082021,FF,Boulder,1,0,Branched 
24,DQ,Boulder,2,0,Kelp
21.2,DQ,Boulder,2,0,Branched 
21.2_02,DQ,Boulder,2,0,Kelp
21.3,DQ,Boulder,2,0,Kelp
19.2,DQ,Cobble,2,0,Turf
33.2,DQ,Bedrock,2,0,BCA
33.2_02,DQ,Bedrock,2,0,Turf
50,DQ,Cobble,2,0,Branched 
N02,DQ,Boulder,2,0,Kelp
32,DQ,Bedrock,2,0,BCA
51,DQ,Boulder,2,0,BCA
51_02,DQ,Boulder,2,0,BCA
19,DQ,Cobble,2,0,Branched 
21.4,DQ,Cobble,2,0,Branched 
30,DQ,Cobble,2,0,Kelp
26,DQ,Cobble,2,0,Kelp
27,DQ,Pebble,2,0,Branched 
26.2,DQ,Boulder,2,0,Kelp
21,DQ,Boulder,2,0,Kelp
Dive5_13082021,FF,Boulder,2,0,Turf
Dive1_14082021,FF,Cobble,2,0,Branched 
84_02,DQ,Granule,3,0,Turf
81,DQ,Pebble,3,1,NA
84,DQ,Granule,3,0,Branched 
65,DQ,Pebble,3,0,Kelp
82,DQ,NA,3,0,Kelp
Dive2_14082021,FF,Boulder,3,3,Kelp
N04.2,DQ,NA,4,0,Kelp
N03,DQ,NA,4,0,Kelp
N04,DQ,NA,4,0,Kelp
Dive3_14082021,FF,NA,4,0,Kelp
