,year_end,l_year_start,l_MHW_days,l_MHW_cum_int,l_MHW_max_int,l_MHW_max_int_abs,b_year_start,b_MHW_days,b_MHW_cum_int,b_MHW_max_int,b_MHW_max_int_abs,c_year_start,c_MHW_days,c_MHW_cum_int,c_MHW_max_int,c_MHW_max_int_abs
1,1967,1966,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1968,1967,30,53.8225,2.5046,14.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1969,1968,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1970,1969,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1971,1970,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1972,1971,9,21.635,3.1797,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1973,1972,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1974,1973,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1975,1974,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1976,1975,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,1977,1976,10,20.8042,2.3699,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1978,1977,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,1979,1978,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,1980,1979,17,23.8263,2.2428,12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,1981,1980,35,57.7545,2.2631,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,1982,1981,15,30.2629,2.9225,15.1,NA,NA,NA,NA,NA,1981,5,9.9927,2.0586,14.05
17,1983,1982,68,127.7801,3.1717,15.1,1982,21,31.7252,1.8255,10.03,1982,34,49.8997,2.115,14.3
18,1984,1983,31,64.7722,3.633,16.1,1983,12,17.2318,1.7295,14.38,1983,0,0,0,0
19,1985,1984,0,0,0,0,1984,0,0,0,0,1984,0,0,0,0
20,1986,1985,0,0,0,0,1985,0,0,0,0,1985,0,0,0,0
21,1987,1986,36,50.2018,2.205,11.4,1986,0,0,0,0,1986,6,10.0061,1.9519,15.52
22,1988,1987,17,30.138,2.8707,15.2,1987,0,0,0,0,1987,0,0,0,0
23,1989,1988,7,8.5759,1.3408,9,1988,0,0,0,0,1988,0,0,0,0
24,1990,1989,13,20.9344,2.4097,14.6,1989,0,0,0,0,1989,34,60.9072,2.4565,15.65
25,1991,1990,0,0,0,0,1990,9,14.6403,2.0559,15.16,1990,18,34.1773,2.4824,16.55
26,1992,1991,0,0,0,0,1991,0,0,0,0,1991,7,9.3609,1.6305,8.57
27,1993,1992,0,0,0,0,1992,0,0,0,0,1992,0,0,0,0
28,1994,1993,0,0,0,0,1993,0,0,0,0,1993,0,0,0,0
29,1995,1994,0,0,0,0,1994,6,9.8616,2.0101,15.18,1994,0,0,0,0
30,1996,1995,0,0,0,0,1995,5,8.1179,1.8933,14.42,1995,0,0,0,0
31,1997,1996,16,32.489,3.4707,15.8,1996,5,6.1606,1.3945,13.03,1996,0,0,0,0
32,1998,1997,193,348.6716,3.5205,16,1997,202,313.4178,2.3939,15.45,1997,202,365.9772,3.1726,14.79
33,1999,1998,5,11.8477,3.453,16,1998,0,0,0,0,1998,23,28.917,1.5449,12.68
34,2000,1999,0,0,0,0,1999,0,0,0,0,1999,0,0,0,0
35,2001,2000,0,0,0,0,2000,0,0,0,0,2000,0,0,0,0
36,2002,2001,0,0,0,0,2001,0,0,0,0,2001,0,0,0,0
37,2003,2002,16,23.447,1.9268,8.8,2002,0,0,0,0,2002,0,0,0,0
38,2004,2003,0,0,0,0,2003,21,46.3242,3.3199,15.28,2003,37,75.8108,3.3485,14.93
39,2005,2004,20,39.7884,3.1797,15.6,2004,53,105.3273,3.3516,16.44,2004,42,86.7043,3.118,17.18
40,2006,2005,6,10.9656,2.1433,14.5,2005,36,59.1656,2.903,16.01,2005,34,60.8174,2.692,16.35
41,2007,2006,0,0,0,0,2006,0,0,0,0,2006,0,0,0,0
42,2008,2007,9,23.3128,3.7412,16.2,2007,7,11.0311,1.8201,14.87,2007,0,0,0,0
43,2009,2008,0,0,0,0,2008,0,0,0,0,2008,10,21.4531,2.7062,14.22
44,2010,2009,16,44.1695,6.2699,16.6,2009,0,0,0,0,2009,0,0,0,0
45,2011,2010,0,0,0,0,2010,0,0,0,0,2010,0,0,0,0
46,2012,2011,6,11.2372,2.6225,14.8,2011,0,0,0,0,2011,0,0,0,0
47,2013,2012,0,0,0,0,2012,5,9.4689,2.0818,13.2,2012,14,21.8939,1.9759,15.48
48,2014,2013,7,14.2558,2.2329,14.6,2013,10,16.6215,1.8933,14.42,2013,30,45.5391,2.5933,16.57
49,2015,2014,179,317.4217,2.6462,12.9,2014,235,447.3803,3.3378,15.15,2014,262,528.2222,3.2573,16.21
50,2016,2015,114,169.2922,2.3079,12.2,2015,208,325.7843,3.7454,15.59,2015,183,321.6626,3.4135,15.64
51,2017,2016,22,29.4732,1.6283,12.6,2016,30,45.8911,1.7679,11.02,2016,42,74.2763,2.664,16.82
52,2018,2017,0,0,0,0,2017,22,47.1807,3.508,15.8,2017,32,58.3784,3.3989,16.23
53,2019,2018,37,61.4932,3.0434,15.6,2018,149,340.7489,4.5416,16.71,2018,144,324.4978,5.3689,18.2
54,2020,2019,15,20.8939,1.703,10.5,2019,38,75.7472,3.5338,15.82,2019,19,43.6299,4.8621,14.16
55,2021,2020,23,37.278,2.2414,13.5,2020,45,63.4425,1.9255,14.95,2020,10,17.707,1.9247,15.57
56,2022,2021,5,9.5491,2.757,15.3,2021,6,10.6234,2.1369,15.26,2021,0,0,0,0
